clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
94,rural,Kampong Chhnang,0.24652779,0.037729863,0.16654405,0.32651153,0.118750006,0.052125037,0.008249862,0.22925015,84,4.76190447807312
95,rural,Kampong Chhnang,0.4193303,0.04311601,0.3274307,0.51122993,0.39649925,0.05429245,0.28077763,0.51222086,73,0.0
96,rural,Kampong Speu,0.43987826,0.043822758,0.34647226,0.53328425,0.37747338,0.071287066,0.2255286,0.5294182,73,0.0
97,rural,Kampong Speu,0.35185185,0.042565748,0.2605574,0.44314632,0.29722223,0.06185956,0.16454667,0.4298978,67,10.447758436203003
98,rural,Kampong Speu,0.28740743,0.033362716,0.21701823,0.35779658,0.1688889,0.054990333,0.052869435,0.28490835,75,0.0
99,rural,Kampong Speu,0.36141637,0.045615807,0.26517543,0.45765734,0.2875458,0.06580966,0.14869957,0.42639205,91,0.0
100,rural,Kampong Speu,0.3576389,0.03423225,0.28421804,0.43105978,0.2715278,0.062000852,0.13854918,0.4045064,80,0.0
101,urban,Kampong Speu,0.1388889,0.039080057,0.05559173,0.22218606,0.032163747,0.032655947,-0.037440762,0.101768255,76,0.0
102,urban,Kampong Speu,0.12165964,0.02391883,0.070677854,0.17264141,0.0,,,,79,0.0
103,urban,Kampong Speu,0.09920635,0.029800283,0.03568855,0.16272415,0.01984127,0.019995145,-0.022777371,0.062459912,84,0.0
104,urban,Kampong Speu,0.120474406,0.025031775,0.066786595,0.17416222,0.007490637,0.007866756,-0.009381877,0.02436315,89,0.0
105,urban,Kampong Speu,0.16869919,0.02608139,0.113108024,0.22429036,0.0,,,,82,0.0
106,urban,Kampong Speu,0.13024692,0.028970763,0.068497196,0.19199663,0.011111111,0.011505219,-0.013411683,0.035633907,90,0.0
107,urban,Kampong Speu,0.12577161,0.02399632,0.07462466,0.17691855,0.0,,,,72,0.0
108,rural,Kampong Speu,0.27074543,0.028579772,0.21015903,0.33133185,0.17299579,0.049266614,0.06855523,0.27743635,82,3.658539056777954
109,rural,Kampong Speu,0.3026144,0.03479986,0.22919309,0.37603566,0.23464052,0.0524048,0.12407607,0.34520498,85,0.0
110,rural,Kampong Speu,0.2777778,0.04011714,0.19173507,0.3638205,0.20105821,0.05970215,0.073009826,0.3291066,84,0.0
111,rural,Kampong Speu,0.24444444,0.030819496,0.1783432,0.31054568,0.08740741,0.04632277,-0.01194505,0.18675987,81,7.407408952713013
112,rural,Kampong Speu,0.40157005,0.036273576,0.3250395,0.47810063,0.32971016,0.05708966,0.2092615,0.4501588,92,0.0
113,rural,Kampong Speu,0.21197411,0.025717545,0.15771483,0.26623338,0.053398058,0.031363342,-0.012772808,0.11956893,103,0.0
114,rural,Kampong Speu,0.35598707,0.035328668,0.2814501,0.43052405,0.27400216,0.059551273,0.14835995,0.39964437,103,0.0
115,rural,Kampong Speu,0.29770532,0.021513619,0.25231555,0.3430951,0.19384058,0.046903744,0.09488234,0.29279882,92,0.0
