clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
139,0.13431786,0.0587053,0.00840752,0.26022822
140,0.017094018,0.017326575,-0.019836701,0.054024737
141,0.034293555,0.034529865,-0.039305113,0.10789222
142,0.03153153,0.030968348,-0.034475937,0.097539
143,0.056338035,0.05531585,-0.0615649,0.17424098
144,0.033333335,0.03360012,-0.03873176,0.10539843
145,0.13333334,0.051321108,0.023260504,0.24340616
146,0.15718158,0.055917807,0.038641118,0.27572203
147,0.37885803,0.03847758,0.29767743,0.46003863
148,0.2116737,0.07778593,0.0467749,0.37657252
149,0.20687136,0.054701984,0.09146026,0.32228246
150,0.08701473,0.046172116,-0.011398811,0.18542826
151,0.3894283,0.052194927,0.27930662,0.49954996
152,0.13817663,0.046602767,0.039853394,0.23649989
153,0.1966967,0.05938364,0.071408175,0.32198521
154,0.30626783,0.06279147,0.1737894,0.43874624
155,0.15806879,0.066958725,0.016798222,0.29933935
156,0.45083016,0.05708901,0.33038288,0.57127744
157,0.119883046,0.058138143,-0.0033643192,0.2431304
158,0.19111112,0.058908403,0.06555083,0.3166714
159,0.1462585,0.05675926,0.026506934,0.26601008
160,0.07427537,0.04318378,-0.016834453,0.16538519
161,0.05490196,0.05061965,-0.052991267,0.16279519
162,0.11237374,0.056458693,-0.00731334,0.23206082
163,0.07154882,0.046287138,-0.028448459,0.1715461
164,0.09661836,0.05487817,-0.019164458,0.21240118
165,0.046176046,0.044772927,-0.050549984,0.14290208
166,0.23925927,0.07357169,0.082444936,0.3960736
167,0.18364199,0.06122156,0.051380847,0.3159031
168,0.14426525,0.087158345,-0.042670805,0.33120131
169,0.12750456,0.045378294,0.030783013,0.2242261
170,0.15,0.059689924,0.02104776,0.27895224
171,0.40952381,0.05751743,0.28759232,0.53145534
172,0.12353802,0.042891424,0.032612257,0.21446377
173,0.25231484,0.046606284,0.15297589,0.35165375
174,0.20873016,0.06356397,0.072399,0.34506133
175,0.0,,,
176,0.061844867,0.0331902,-0.00889837,0.1325881
177,0.06962963,0.038847674,-0.013172228,0.15243149
178,0.12804878,0.049948525,0.022666607,0.23343095
179,0.14861111,0.05322546,0.036315203,0.26090702
180,0.28039217,0.07353731,0.12524201,0.43554235
181,0.096296296,0.05066334,-0.011690057,0.20428266
182,0.10573477,0.055055067,-0.011612329,0.22308187
183,0.34494197,0.046294484,0.24726914,0.4426148
184,0.071338385,0.044655576,-0.022876643,0.16555342
185,0.12962963,0.055417664,0.012708583,0.24655068
186,0.062330622,0.043394677,-0.030162944,0.1548242
187,0.0,,,
188,0.012820513,0.009876941,-0.008231688,0.033872716
189,0.0,,,
190,0.0,,,
191,0.0,,,
192,0.3530702,0.07850109,0.1857491,0.5203913
193,0.3254902,0.0701325,0.17681594,0.4741645
194,0.38122606,0.059071098,0.255319,0.5071331
195,0.18592593,0.0599915,0.059354927,0.31249693
196,0.14576457,0.04584847,0.049032763,0.2424964
197,0.05907173,0.039781075,-0.025719622,0.14386308
198,0.05175038,0.03240671,-0.017322885,0.12082365
199,0.14358975,0.07262694,-0.012179546,0.29935905
200,0.37974685,0.07004286,0.22951986,0.52997386
201,0.1904762,0.08008656,0.018707616,0.36224478
202,0.077932104,0.044230144,-0.016342225,0.17220643
203,0.060606062,0.04148652,-0.027820367,0.14903249
204,0.19783199,0.0687536,0.050370183,0.3452938
205,0.008385744,0.008872456,-0.010525447,0.027296936
206,0.15294924,0.051150266,0.04503162,0.26086688
207,0.1730419,0.062639035,0.04025308,0.30583072
208,0.13708514,0.052454032,0.02588756,0.24828272
209,0.18276973,0.06026458,0.055014532,0.31052494
210,0.41523483,0.056094367,0.2963201,0.5341496
211,0.3465278,0.08321689,0.17095551,0.5221001
212,0.46993467,0.06734486,0.32784945,0.6120199
213,0.11319444,0.04727103,0.012438631,0.21395026
214,0.2552743,0.09614245,0.050351508,0.46019706
215,0.53423125,0.074210115,0.37766162,0.6908009
216,0.45158732,0.06199658,0.32016045,0.5830142
217,0.18444446,0.05189283,0.07496016,0.29392874
218,0.34722224,0.06571865,0.20714624,0.48729822
219,0.28580248,0.07203651,0.13381873,0.43778625
220,0.38576782,0.06893277,0.23963688,0.53189874
221,0.238965,0.06102095,0.10890192,0.3690281
222,0.2887324,0.072090365,0.13507544,0.4423894
223,0.4533097,0.06530666,0.31486577,0.59175366
224,0.0,,,
225,0.0,,,
226,0.0,,,
227,0.018939395,0.019459106,-0.023458354,0.061337143
228,0.019323671,0.019962184,-0.02417019,0.06281754
229,0.0,,,
230,0.0,,,
231,0.0,,,
232,0.0,,,
233,0.0,,,
234,0.0,,,
235,0.031746034,0.031359803,-0.035095807,0.09858787
236,0.0,,,
237,0.048245616,0.04483538,-0.04861534,0.14510657
238,0.054263566,0.048857402,-0.050525136,0.15905227
239,0.039855074,0.03757217,-0.040228114,0.11993826
240,0.04777778,0.034350928,-0.024696343,0.120251894
241,0.06116208,0.03293067,-0.008315555,0.13063972
242,0.02710027,0.027233751,-0.030947095,0.085147634
243,0.025089607,0.025020512,-0.028574055,0.07875327
244,0.0,,,
245,0.0,,,
246,0.0,,,
247,0.0,,,
248,0.0960961,0.052004233,-0.014748302,0.2069405
249,0.0,,,
250,0.014336918,0.014685913,-0.016965365,0.045639202
251,0.04980843,0.0456709,-0.047536794,0.14715366
252,0.0,,,
253,0.063046195,0.03657912,-0.014920355,0.14101274
254,0.00909091,0.0094199525,-0.0107834535,0.028965272
255,0.027006174,0.02725826,-0.031881716,0.08589406
256,0.0,,,
257,0.07588076,0.045094814,-0.020236563,0.17199808
258,0.0,,,
259,0.0,,,
260,0.0,,,
261,0.0,,,
262,0.040229887,0.027079558,-0.017176213,0.097635984
263,0.06382979,0.041192625,-0.023970213,0.15162979
264,0.2806713,0.052439235,0.17003419,0.39130843
265,0.10564663,0.048722766,0.0028505793,0.20844269
266,0.27083334,0.058299832,0.14783144,0.39383525
267,0.14754099,0.051802848,0.03824653,0.25683543
268,0.100456625,0.04515608,0.0051856204,0.19572763
269,0.11111111,0.054379713,-0.0036200543,0.22584228
270,0.35042736,0.04942392,0.24565333,0.4552014
271,0.036231883,0.035837818,-0.039740898,0.11220466
