clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI,tot_samp_ppl,pct_samp_ppl_mis
169,0.27366257,0.065744914,0.13162932,0.41569582,54,0.0
170,0.28260872,0.07173987,0.12471032,0.44050708,69,0.0
171,0.0,,,,51,0.0
172,0.037037037,0.036807705,-0.046227776,0.12030185,56,3.5714268684387207
173,0.09435627,0.068741836,-0.05694349,0.24565603,63,0.0
174,0.35599416,0.08885012,0.16240638,0.54958194,76,0.0
175,0.0,,,,51,0.0
176,0.0,,,,62,0.0
177,0.07495591,0.049353115,-0.03366957,0.18358138,63,0.0
178,0.0,,,,52,5.769228935241699
179,0.4681373,0.0718925,0.312823,0.6234516,68,0.0
180,0.35299146,0.06845489,0.20510367,0.5008793,65,0.0
181,0.35639414,0.06832962,0.20877697,0.50401133,53,0.0
182,0.25959596,0.060956392,0.1279077,0.39128426,55,0.0
183,0.13271606,0.051824775,0.019799566,0.24563254,54,0.0
184,0.46551725,0.050212897,0.35611275,0.5749218,64,9.375
185,0.44758913,0.058306046,0.32162657,0.57355165,53,0.0
186,0.37125224,0.06821941,0.22387315,0.5186313,63,0.0
187,0.3644068,0.079434186,0.19133459,0.53747904,61,3.2786905765533447
188,0.18968254,0.068495095,0.040444553,0.33892053,70,0.0
189,0.17615177,0.066773266,0.031896904,0.32040665,82,0.0
190,0.3521127,0.07263678,0.19519047,0.50903493,71,0.0
191,0.4980159,0.060777027,0.36559415,0.6304377,88,4.545456171035767
192,0.20606062,0.07275878,0.045919623,0.3662016,55,0.0
193,0.20212768,0.08435597,0.016461434,0.3877939,47,0.0
194,0.0527307,0.03731413,-0.02856981,0.1340312,63,6.34920597076416
195,0.24176955,0.049727406,0.13342284,0.35011625,54,0.0
196,0.19650206,0.067561954,0.05054334,0.34246078,54,0.0
197,0.23981483,0.07566038,0.07636052,0.40326914,60,0.0
198,0.15725048,0.06726519,0.010692219,0.30380872,59,0.0
199,0.41130608,0.10621971,0.17751808,0.6450941,62,8.064514398574829
200,0.21995467,0.08934677,0.023303758,0.41660556,62,20.967739820480347
201,0.50217867,0.09156176,0.2950516,0.70930576,57,10.526317358016968
202,0.2703704,0.06171798,0.13703679,0.40370396,60,0.0
203,0.23747277,0.08155156,0.05978719,0.41515836,55,7.27272629737854
204,0.3808244,0.073429026,0.21920818,0.5424406,72,13.88888955116272
205,0.2570481,0.07609065,0.09266425,0.42143196,67,0.0
206,0.1984127,0.06417774,0.05976514,0.33706027,63,0.0
207,0.5163399,0.07552601,0.3531759,0.6795039,68,0.0
208,0.112068966,0.07602277,-0.05732032,0.28145826,58,0.0
209,0.10606061,0.050336543,-0.006096198,0.21821742,57,3.50877046585083
210,0.15009747,0.05895419,0.02164732,0.2785476,57,0.0
211,0.20899472,0.074380115,0.048306257,0.36968318,84,0.0
212,0.0,,,,50,10.000002384185791
213,0.14787582,0.07438964,-0.012833219,0.30858487,68,0.0
214,0.22643098,0.058529686,0.09998528,0.3528767,66,0.0
215,0.25816995,0.07471939,0.091684766,0.4246551,64,20.3125
216,0.40639272,0.05217225,0.29271913,0.52006626,77,5.194807052612305
217,0.0,,,,53,0.0
218,0.095679015,0.05220477,-0.02064046,0.21199849,57,5.263155698776245
219,0.0,,,,70,0.0
220,0.0,,,,53,7.547169923782349
221,0.20833334,0.08134698,0.029289842,0.38737684,60,0.0
222,0.02739726,0.027960751,-0.03300827,0.08780279,73,0.0
223,0.33176842,0.08646514,0.14337704,0.5201598,76,6.578946113586426
224,0.0,,,,48,0.0
225,0.08955224,0.050058983,-0.020626837,0.19973132,67,0.0
226,0.13752277,0.05018263,0.029109789,0.24593575,61,0.0
227,0.116161615,0.06113619,-0.018398229,0.25072145,55,0.0
